passes,profile,spacecraft,contact_id,status,reason,local_rms_km,forecast_rms_km,local_failure,forecast_failure,local_reference_status,forecast_reference_status,nfev,njev,runtime_s
8,cohort,FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,converged,`ftol` termination condition is satisfied.,2.518,20.457,,,accepted,candidate,12,11,30.65245010700164
8,cohort,FOREST-17,6569e3a1-7aa1-4ff3-a2c0-cd1cd88fd85a,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,5233c319-41fd-4896-847f-112ddfe9c56d,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,74df0163-cf66-41f9-b960-409fca756c93,screening_failed,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,2610bd5f-3a3f-4756-be38-d31392d4324c,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,36c92afa-8853-4630-a788-ad2e63912d51,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,d61bfc77-1d1c-4e82-91fd-6e7489e73cb3,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,d623db96-56fd-4783-9f1e-bf3933f4dbd8,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,01448cbd-3659-4184-89c2-7883e4a3c6c7,screening_failed,,unavailable,unavailable,,,accepted,accepted,,,
8,cohort,FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,converged,`ftol` termination condition is satisfied.,5.956,37.262,,,accepted,accepted,7,6,25.9785612630003
8,cohort,FOREST-18,6d7785df-a7a7-4963-8fcc-bdebf3a6dc80,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,b2015720-f0bb-48e7-b19a-131a592c9501,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,6c22b929-f451-4e3f-bc5d-fc4e230c6c02,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,7f6f30f5-0820-469d-9ab6-71b9523e8939,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
8,cohort,FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,converged,`ftol` termination condition is satisfied.,2.800,18.762,,,accepted,candidate,8,7,36.292467130999285
8,cohort,FOREST-19,a22fbafe-9e67-4eb3-b02b-7f108aa1b80b,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
8,cohort,FOREST-19,f80c6227-6cc9-441f-ae4f-13c37b361b00,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
8,cohort,FOREST-19,2e914640-332d-4846-8126-0c7d58e2a568,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
8,cohort,FOREST-19,399cf06a-3730-4818-8f75-270388e8fd0a,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
8,cohort,FOREST-19,d2af3474-5932-431d-ae42-c7ce901c93ba,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
8,cohort,FOREST-19,5d035d45-52f9-4d77-86fa-7e4917f23992,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
8,cohort,FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,converged,`ftol` termination condition is satisfied.,6.616,91.400,,,candidate,candidate,6,5,16.430409554999642
8,cohort,FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,converged,`ftol` termination condition is satisfied.,3.189,38.700,,,candidate,candidate,10,9,23.994308205998095
8,cohort,FOREST-19,c862d412-bfa6-4ff1-bd12-935e690521fb,screening_failed,,unavailable,unavailable,,,candidate,candidate,,,
8,cohort,FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,converged,`ftol` termination condition is satisfied.,1.708,23.700,,,candidate,candidate,9,8,24.448526313997718
